experiment_name,code_family,control_mode,basis,cycle_dir,cycles,workload_id,baseline_decoder_pathway,intervened_decoder_pathway,num_pairs,valid_pairs,invalid_pairs,baseline_failure_count,intervened_failure_count,rescued_failure_count,induced_failure_count,unchanged_failure_count,unchanged_success_count,net_rescue_count,baseline_lfr,intervened_lfr,paired_delta_lfr,net_rescue_rate,rescue_rate_among_baseline_failures,induction_rate_among_baseline_successes,pairing_violation_rate,source_data_dir
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,r010,10,surface_code_reinforcement_learning_X_r010,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,243,215,74,46,169,9711,28,0.024300,0.021500,-0.002800,0.002800,0.304527,0.004715,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r010
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,r020,20,surface_code_reinforcement_learning_X_r020,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,492,407,163,78,329,9430,85,0.049200,0.040700,-0.008500,0.008500,0.331301,0.008204,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r020
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,r030,30,surface_code_reinforcement_learning_X_r030,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,676,580,221,125,455,9199,96,0.067600,0.058000,-0.009600,0.009600,0.326923,0.013406,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r030
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,r040,40,surface_code_reinforcement_learning_X_r040,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,874,710,330,166,544,8960,164,0.087400,0.071000,-0.016400,0.016400,0.377574,0.018190,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r040
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,r050,50,surface_code_reinforcement_learning_X_r050,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,1046,885,361,200,685,8754,161,0.104600,0.088500,-0.016100,0.016100,0.345124,0.022336,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r050
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,r060,60,surface_code_reinforcement_learning_X_r060,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,1270,1076,424,230,846,8500,194,0.127000,0.107600,-0.019400,0.019400,0.333858,0.026346,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r060
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,r070,70,surface_code_reinforcement_learning_X_r070,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,1421,1202,469,250,952,8329,219,0.142100,0.120200,-0.021900,0.021900,0.330049,0.029141,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r070
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,r080,80,surface_code_reinforcement_learning_X_r080,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,1621,1323,632,334,989,8045,298,0.162100,0.132300,-0.029800,0.029800,0.389883,0.039862,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r080
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,r090,90,surface_code_reinforcement_learning_X_r090,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,1784,1458,656,330,1128,7886,326,0.178400,0.145800,-0.032600,0.032600,0.367713,0.040166,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r090
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,r100,100,surface_code_reinforcement_learning_X_r100,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,1919,1606,687,374,1232,7707,313,0.191900,0.160600,-0.031300,0.031300,0.357999,0.046281,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r100
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,Z,r010,10,surface_code_reinforcement_learning_Z_r010,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,220,201,58,39,162,9741,19,0.022000,0.020100,-0.001900,0.001900,0.263636,0.003988,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/Z/r010
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,Z,r020,20,surface_code_reinforcement_learning_Z_r020,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,433,347,147,61,286,9506,86,0.043300,0.034700,-0.008600,0.008600,0.339492,0.006376,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/Z/r020
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,Z,r030,30,surface_code_reinforcement_learning_Z_r030,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,651,537,218,104,433,9245,114,0.065100,0.053700,-0.011400,0.011400,0.334869,0.011124,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/Z/r030
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,Z,r040,40,surface_code_reinforcement_learning_Z_r040,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,837,699,292,154,545,9009,138,0.083700,0.069900,-0.013800,0.013800,0.348865,0.016807,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/Z/r040
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,Z,r050,50,surface_code_reinforcement_learning_Z_r050,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,991,845,336,190,655,8819,146,0.099100,0.084500,-0.014600,0.014600,0.339051,0.021090,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/Z/r050
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,Z,r060,60,surface_code_reinforcement_learning_Z_r060,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,1245,1077,395,227,850,8528,168,0.124500,0.107700,-0.016800,0.016800,0.317269,0.025928,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/Z/r060
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,Z,r070,70,surface_code_reinforcement_learning_Z_r070,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,1404,1154,505,255,899,8341,250,0.140400,0.115400,-0.025000,0.025000,0.359687,0.029665,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/Z/r070
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,Z,r080,80,surface_code_reinforcement_learning_Z_r080,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,1520,1328,509,317,1011,8163,192,0.152000,0.132800,-0.019200,0.019200,0.334868,0.037382,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/Z/r080
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,Z,r090,90,surface_code_reinforcement_learning_Z_r090,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,1705,1473,586,354,1119,7941,232,0.170500,0.147300,-0.023200,0.023200,0.343695,0.042676,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/Z/r090
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,Z,r100,100,surface_code_reinforcement_learning_Z_r100,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,1938,1654,672,388,1266,7674,284,0.193800,0.165400,-0.028400,0.028400,0.346749,0.048127,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/Z/r100
surface_code_traditional_calibration,surface_code_memory,traditional_calibration,X,r010,10,surface_code_traditional_calibration_X_r010,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,257,205,93,41,164,9702,52,0.025700,0.020500,-0.005200,0.005200,0.361868,0.004208,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/X/r010
surface_code_traditional_calibration,surface_code_memory,traditional_calibration,X,r020,20,surface_code_traditional_calibration_X_r020,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,550,470,185,105,365,9345,80,0.055000,0.047000,-0.008000,0.008000,0.336364,0.011111,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/X/r020
surface_code_traditional_calibration,surface_code_memory,traditional_calibration,X,r030,30,surface_code_traditional_calibration_X_r030,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,812,647,290,125,522,9063,165,0.081200,0.064700,-0.016500,0.016500,0.357143,0.013605,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/X/r030
surface_code_traditional_calibration,surface_code_memory,traditional_calibration,X,r040,40,surface_code_traditional_calibration_X_r040,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,1029,827,386,184,643,8787,202,0.102900,0.082700,-0.020200,0.020200,0.375121,0.020511,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/X/r040
surface_code_traditional_calibration,surface_code_memory,traditional_calibration,X,r050,50,surface_code_traditional_calibration_X_r050,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,1246,1030,452,236,794,8518,216,0.124600,0.103000,-0.021600,0.021600,0.362761,0.026959,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/X/r050
surface_code_traditional_calibration,surface_code_memory,traditional_calibration,X,r060,60,surface_code_traditional_calibration_X_r060,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,1454,1186,547,279,907,8267,268,0.145400,0.118600,-0.026800,0.026800,0.376204,0.032647,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/X/r060
surface_code_traditional_calibration,surface_code_memory,traditional_calibration,X,r070,70,surface_code_traditional_calibration_X_r070,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,1740,1445,642,347,1098,7913,295,0.174000,0.144500,-0.029500,0.029500,0.368966,0.042010,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/X/r070
surface_code_traditional_calibration,surface_code_memory,traditional_calibration,X,r080,80,surface_code_traditional_calibration_X_r080,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,1880,1558,707,385,1173,7735,322,0.188000,0.155800,-0.032200,0.032200,0.376064,0.047414,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/X/r080
surface_code_traditional_calibration,surface_code_memory,traditional_calibration,X,r090,90,surface_code_traditional_calibration_X_r090,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,2090,1721,794,425,1296,7485,369,0.209000,0.172100,-0.036900,0.036900,0.379904,0.053729,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/X/r090
surface_code_traditional_calibration,surface_code_memory,traditional_calibration,X,r100,100,surface_code_traditional_calibration_X_r100,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,2283,1939,868,524,1415,7193,344,0.228300,0.193900,-0.034400,0.034400,0.380201,0.067902,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/X/r100
surface_code_traditional_calibration,surface_code_memory,traditional_calibration,Z,r010,10,surface_code_traditional_calibration_Z_r010,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,260,224,83,47,177,9693,36,0.026000,0.022400,-0.003600,0.003600,0.319231,0.004825,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010
surface_code_traditional_calibration,surface_code_memory,traditional_calibration,Z,r020,20,surface_code_traditional_calibration_Z_r020,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,527,460,159,92,368,9381,67,0.052700,0.046000,-0.006700,0.006700,0.301708,0.009712,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r020
surface_code_traditional_calibration,surface_code_memory,traditional_calibration,Z,r030,30,surface_code_traditional_calibration_Z_r030,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,774,653,245,124,529,9102,121,0.077400,0.065300,-0.012100,0.012100,0.316537,0.013440,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r030
surface_code_traditional_calibration,surface_code_memory,traditional_calibration,Z,r040,40,surface_code_traditional_calibration_Z_r040,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,1077,887,381,191,696,8732,190,0.107700,0.088700,-0.019000,0.019000,0.353760,0.021405,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r040
surface_code_traditional_calibration,surface_code_memory,traditional_calibration,Z,r050,50,surface_code_traditional_calibration_Z_r050,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,1313,1140,433,260,880,8427,173,0.131300,0.114000,-0.017300,0.017300,0.329779,0.029930,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r050
surface_code_traditional_calibration,surface_code_memory,traditional_calibration,Z,r060,60,surface_code_traditional_calibration_Z_r060,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,1461,1205,509,253,952,8286,256,0.146100,0.120500,-0.025600,0.025600,0.348392,0.029629,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r060
surface_code_traditional_calibration,surface_code_memory,traditional_calibration,Z,r070,70,surface_code_traditional_calibration_Z_r070,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,1652,1412,567,327,1085,8021,240,0.165200,0.141200,-0.024000,0.024000,0.343220,0.039171,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r070
surface_code_traditional_calibration,surface_code_memory,traditional_calibration,Z,r080,80,surface_code_traditional_calibration_Z_r080,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,1902,1625,680,403,1222,7695,277,0.190200,0.162500,-0.027700,0.027700,0.357518,0.049765,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r080
surface_code_traditional_calibration,surface_code_memory,traditional_calibration,Z,r090,90,surface_code_traditional_calibration_Z_r090,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,1957,1672,693,408,1264,7635,285,0.195700,0.167200,-0.028500,0.028500,0.354113,0.050727,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r090
surface_code_traditional_calibration,surface_code_memory,traditional_calibration,Z,r100,100,surface_code_traditional_calibration_Z_r100,correlated_matching_decoder_with_si1000_prior,tesseract_decoder_with_si1000_prior,10000,10000,0,2209,1883,830,504,1379,7287,326,0.220900,0.188300,-0.032600,0.032600,0.375736,0.064690,0.000000,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r100
